name;coords;phone-number;rating;address;working-hours;category;place_id
Дюран;[49.125514, 55.793734];+7 (843) 212-27-88;4.2;ул. Пушкина, 46, Казань;['Mo 12:00-03:00', 'Tu 12:00-03:00', 'We 12:00-03:00', 'Th 12:00-03:00', 'Fr 12:00-06:00', 'Sa 12:00-06:00', 'Su 12:00-03:00'];кафе;0
Бристоль;[49.152029, 55.787759];+7 (843) 537-95-37;4.3;ул. Достоевского, 48/29, Казань;['Mo 11:00-23:00', 'Tu 11:00-23:00', 'We 11:00-23:00', 'Th 11:00-23:00', 'Fr 11:00-23:00', 'Sa 11:00-23:00', 'Su 11:00-23:00'];кафе;1
Дастархан;[49.11122, 55.817392];+7 (843) 258-19-49;4.3;Чистопольская ул., 20Б, Казань;['Mo 09:00-19:00', 'Tu 09:00-19:00', 'We 09:00-19:00', 'Th 09:00-19:00', 'Fr 09:00-19:00'];кафе;2
Luna;[49.099526, 55.818848];+7 (843) 239-31-33;4.2;Чистопольская ул., 3Б, Казань • этаж 2;['Mo 11:00-00:00', 'Tu 11:00-00:00', 'We 11:00-00:00', 'Th 11:00-00:00', 'Fr 11:00-01:00', 'Sa 11:00-01:00', 'Su 11:00-00:00'];кафе;3
Green-B;[49.112927, 55.786337];+7 (950) 313-31-26;4.1;ул. Николая Столбова, 1/3, Казань;['Mo 10:30-22:00', 'Tu 10:30-22:00', 'We 10:30-22:00', 'Th 10:30-22:00', 'Fr 10:30-22:00', 'Sa 10:30-22:00', 'Su 10:30-22:00'];кафе;4
Фламинго;[49.135738, 55.791427];+7 (843) 267-60-37;4.0;ул. Щапова, 26Б, Казаньпомещение 107, этаж 1;['Mo 08:00-17:00', 'Tu 08:00-17:00', 'We 08:00-17:00', 'Th 08:00-17:00', 'Fr 08:00-17:00'];кафе;5
Лиза;[49.1843, 55.814353];;3.4;ул. Академика Кирпичникова, 27, Казань • этаж 1;['Mo 00:00-23:59', 'Tu 00:00-23:59', 'We 00:00-23:59', 'Th 00:00-23:59', 'Fr 00:00-23:59', 'Sa 00:00-23:59', 'Su 00:00-23:59'];кафе;6
Bella;[49.236802, 55.8013];+7 (917) 927-77-95;4.0;ул. Александра Курынова, 11, корп. 2, Казань;['Mo 10:00-22:00', 'Tu 10:00-22:00', 'We 10:00-22:00', 'Th 10:00-22:00', 'Fr 10:00-22:00', 'Sa 10:00-22:00', 'Su 10:00-22:00'];кафе;7
Хан Булак;[49.117786, 55.785515];+7 (987) 226-76-46;4.4;Право-Булачная ул., 53, Казань;['Mo 10:00-00:00', 'Tu 10:00-00:00', 'We 10:00-00:00', 'Th 10:00-00:00', 'Fr 10:00-02:00', 'Sa 10:00-02:00', 'Su 10:00-00:00'];кафе;8
Basilico;[49.110552, 55.792713];+7 (843) 258-39-33;4.3;ул. Баумана, 38/17, Казань;['Mo 11:30-23:00', 'Tu 11:30-23:00', 'We 11:30-23:00', 'Th 11:30-23:00', 'Fr 11:30-23:00', 'Sa 11:30-23:00', 'Su 11:30-23:00'];кафе;9
Золотой дракон;[49.119181, 55.787019];+7 (929) 642-69-58;4.1;Университетская ул., 5/37, Казань;['Mo 11:00-21:30', 'Tu 11:00-21:30', 'We 11:00-21:30', 'Th 11:00-21:30', 'Fr 11:00-21:30', 'Sa 11:00-21:30', 'Su 11:00-21:30'];кафе;10
Kazan тандыр;[49.108787, 55.778699];+7 (999) 868-62-16;4.1;ул. Татарстан, 52А, Вахитовский район, Казань;['Mo 09:00-21:00', 'Tu 09:00-21:00', 'We 09:00-21:00', 'Th 09:00-21:00', 'Fr 09:00-21:00', 'Sa 09:00-21:00', 'Su 09:00-21:00'];кафе;11
Мусс;[49.116872, 55.781294];+7 (927) 415-83-22;3.8;ул. Шигабутдина Марджани, 6, Казань;['Mo 07:30-23:00', 'Tu 07:30-23:00', 'We 07:30-23:00', 'Th 07:30-23:00', 'Fr 07:30-23:00', 'Sa 07:30-23:00', 'Su 07:30-23:00'];кафе;12
Блинная;[49.107244, 55.785041];+7 (987) 297-40-55;3.8;ул. Габдуллы Тукая, 2, КазаньТЦ Муравейник, этаж 1;['Mo 08:00-19:00', 'Tu 08:00-19:00', 'We 08:00-19:00', 'Th 08:00-19:00', 'Fr 08:00-19:00', 'Sa 08:00-19:00', 'Su 08:00-19:00'];кафе;13
Пэпэ;[49.111961, 55.786772];+7 (996) 906-04-44;4.3;ул. Галиаскара Камала, 4А, Казань;['Mo 09:00-21:00', 'Tu 09:00-21:00', 'We 09:00-21:00', 'Th 09:00-21:00', 'Fr 09:00-21:00', 'Sa 09:00-21:00', 'Su 09:00-21:00'];кафе;14
Танду;[49.140998, 55.775393];+7 (843) 264-36-51;4.4;ул. Нурсултана Назарбаева, 12В, Казань;['Mo 10:30-22:00', 'Tu 10:30-22:00', 'We 10:30-22:00', 'Th 10:30-22:00', 'Fr 10:30-22:00', 'Sa 10:30-22:00', 'Su 10:30-22:00'];кафе;15
Miñ;[49.125917, 55.801704];;4.0;ул. Пушкина, 86, Казань • этаж 1;['Mo 09:00-21:00', 'Tu 09:00-21:00', 'We 09:00-21:00', 'Th 09:00-21:00', 'Fr 09:00-21:00', 'Sa 09:00-21:00', 'Su 09:00-21:00'];кафе;16
М-7;[49.025944, 55.827025];+7 (917) 275-83-52;3.9;Горьковское ш., 30, Казань;['Mo 09:00-18:00', 'Tu 09:00-18:00', 'We 09:00-18:00', 'Th 09:00-18:00', 'Fr 09:00-18:00', 'Sa 09:00-16:00', 'Su 09:00-16:00'];кафе;17
Чайхона & Kebab;[49.108515, 55.788231];+7 (987) 298-84-48;4.3;Московская ул., 38, Казань;['Mo 08:00-23:00', 'Tu 08:00-23:00', 'We 08:00-23:00', 'Th 08:00-23:00', 'Fr 08:00-23:00', 'Sa 08:00-23:00', 'Su 08:00-23:00'];кафе;18
Poke Soul;[49.148105, 55.768728];+7 (996) 901-02-01;3.9;ул. Павлюхина, 91, КазаньТРЦ KazanMall;['Mo 10:00-22:00', 'Tu 10:00-22:00', 'We 10:00-22:00', 'Th 10:00-22:00', 'Fr 10:00-22:00', 'Sa 10:00-22:00', 'Su 10:00-22:00'];кафе;19
Шат;[49.115887, 55.773999];;3.2;ул. Сары Садыковой, 30, Казань;['Mo 08:00-21:00', 'Tu 08:00-21:00', 'We 08:00-21:00', 'Th 08:00-21:00', 'Fr 08:00-21:00', 'Sa 08:00-21:00', 'Su 08:00-21:00'];кафе;20
Beer And Rolls;[49.104713, 55.752407];+7 (903) 344-34-62;3.3;Магистральная ул., 24, корп. 1, Приволжский район, Казань;['Mo 15:00-03:00', 'Tu 15:00-03:00', 'We 15:00-03:00', 'Th 15:00-03:00', 'Fr 15:00-03:00', 'Sa 15:00-03:00', 'Su 15:00-03:00'];кафе;21
Кишмиш;[49.090858, 55.816439];+7 (927) 433-39-38;4.2;ул. Декабристов, 83, Казань;['Mo 10:00-22:00', 'Tu 10:00-22:00', 'We 10:00-22:00', 'Th 10:00-22:00', 'Fr 10:00-22:00', 'Sa 10:00-22:00', 'Su 10:00-22:00'];кафе;22
Милан;[49.135533, 55.789256];+7 (843) 236-41-99;4.3;ул. Бутлерова, 43/11, Казань;['Mo 11:00-00:00', 'Tu 11:00-00:00', 'We 11:00-00:00', 'Th 11:00-00:00', 'Fr 11:00-00:00', 'Sa 11:00-00:00', 'Su 11:00-00:00'];кафе;23
Будаглы;[49.233538, 55.779988];+7 (904) 714-31-91;3.8;ул. Галии Кайбицкой, 4А, Казань;['Mo 11:00-23:00', 'Tu 11:00-23:00', 'We 11:00-23:00', 'Th 11:00-23:00', 'Fr 11:00-23:00', 'Sa 11:00-23:00', 'Su 11:00-23:00'];кафе;24
Медина Food;[49.131501, 55.778531];+7 (986) 909-14-73;4.4;Спартаковская ул., 12, Казань;['Mo 08:00-22:00', 'Tu 08:00-22:00', 'We 08:00-22:00', 'Th 08:00-22:00', 'Fr 08:00-22:00', 'Sa 08:00-22:00', 'Su 10:00-22:00'];кафе;25
